"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",1985,65,62,3,0,0,0,0,64,42,26,0,0,0,0,0,65
"Aberdeen, WA","10140",1985,348,104,61,141,42,0,0,200,153,103,0,0,0,348,0,0
"Akron, OH","10420",1985,365,72,170,110,13,0,0,200,126,87,1,0,96,268,0,0
"Albany, OR","10540",1985,62,39,23,0,0,0,0,77,64,43,0,0,0,0,0,62
"Albany-Schenectady-Troy, NY","10580",1985,365,249,92,18,6,0,0,195,84,43,7,0,204,145,0,9
"Albuquerque, NM","10740",1985,365,139,207,16,1,2,0,218,87,57,106,26,213,0,0,20
"Allentown-Bethlehem-Easton, PA-NJ","10900",1985,365,162,142,43,17,1,0,201,129,54,27,54,168,112,0,4
"Altoona, PA","11020",1985,361,203,128,26,4,0,0,187,95,48,0,18,182,134,0,27
"Amarillo, TX","11100",1985,40,37,3,0,0,0,0,59,50,31,0,0,0,0,0,40
"Ames, IA","11180",1985,356,274,41,35,6,0,0,200,103,6,0,0,0,356,0,0
"Anchorage, AK","11260",1985,365,229,115,19,2,0,0,154,84,38,288,0,50,0,0,27
"Ann Arbor, MI","11460",1985,166,121,37,7,1,0,0,169,80,38,0,0,166,0,0,0
"Appleton, WI","11540",1985,183,150,28,4,1,0,0,156,71,37,0,0,183,0,0,0
"Asheville, NC","11700",1985,192,148,44,0,0,0,0,100,71,40,0,0,192,0,0,0
"Ashtabula, OH","11780",1985,365,227,91,39,8,0,0,200,105,44,0,0,170,195,0,0
"Athens, TN","11940",1985,298,239,51,7,1,0,0,200,67,26,0,88,0,210,0,0
"Atlanta-Sandy Springs-Roswell, GA","12060",1985,365,149,148,49,15,4,0,209,120,59,23,118,129,95,0,0
"Atlantic City-Hammonton, NJ","12100",1985,363,199,103,41,11,9,0,241,129,49,90,0,214,59,0,0
"Augusta-Richmond County, GA-SC","12260",1985,348,243,74,30,1,0,0,156,96,41,0,0,309,39,0,0
"Augusta-Waterville, ME","12300",1985,302,201,78,17,5,1,0,208,87,43,0,0,173,79,0,50
"Austin-Round Rock, TX","12420",1985,364,283,55,20,5,1,0,210,93,38,0,0,346,4,0,14
"Bakersfield, CA","12540",1985,365,71,140,67,72,15,0,217,182,89,3,115,219,28,0,0
"Baltimore-Columbia-Towson, MD","12580",1985,365,39,204,79,32,11,0,244,161,81,63,70,129,101,0,2
"Bangor, ME","12620",1985,365,105,190,62,8,0,0,200,111,67,0,0,0,349,0,16
"Baraboo, WI","12660",1985,66,65,1,0,0,0,0,53,35,21,0,0,0,0,0,66
"Barre, VT","12740",1985,256,238,17,1,0,0,0,109,47,23,0,0,0,195,0,61
"Baton Rouge, LA","12940",1985,365,90,187,61,25,2,0,225,140,65,0,83,144,138,0,0
"Battle Creek, MI","12980",1985,66,58,8,0,0,0,0,78,53,34,0,0,0,0,0,66
"Beaumont-Port Arthur, TX","13140",1985,363,117,125,112,9,0,0,200,116,69,10,19,29,305,0,0
"Beaver Dam, WI","13180",1985,164,113,36,12,3,0,0,166,97,43,0,0,164,0,0,0
"Bellingham, WA","13380",1985,300,262,26,10,2,0,0,200,56,14,0,0,0,300,0,0
"Bend-Redmond, OR","13460",1985,61,48,12,1,0,0,0,121,60,24,0,0,0,0,0,61
"Berlin, NH-VT","13620",1985,365,129,159,74,3,0,0,174,113,61,0,0,38,295,0,32
"Billings, MT","13740",1985,365,52,59,158,96,0,0,200,183,123,40,0,0,325,0,0
"Birmingham-Hoover, AL","13820",1985,365,193,134,30,7,1,0,202,101,49,98,0,163,28,0,76
"Bismarck, ND","13900",1985,365,344,21,0,0,0,0,94,46,36,0,3,321,20,0,21
"Boise City, ID","14260",1985,348,252,93,3,0,0,0,108,70,40,348,0,0,0,0,0
"Boston-Cambridge-Newton, MA-NH","14460",1985,365,4,192,147,17,5,0,224,129,99,31,31,60,243,0,0
"Boulder, CO","14500",1985,363,245,105,11,1,1,0,201,81,44,54,0,245,0,0,64
"Bowling Green, KY","14540",1985,361,255,75,29,2,0,0,174,97,41,0,0,361,0,0,0
"Bozeman, MT","14580",1985,6,5,1,0,0,0,0,55,55,38,0,0,0,0,0,6
