Notes,Region,Region Code,State,State Code,Year,Year Code,Month,Month Code,Avg Daily Precipitation (mm)
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Aug,8,1.16
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Sep,9,1.55
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Oct,10,2.86
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Nov,11,2.76
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Dec,12,2.47
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,,,3.64
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Jan,1,0.91
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Feb,2,2.18
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Mar,3,2.39
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Apr,4,1.22
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,May,5,3.78
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Jun,6,3.84
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Jul,7,4.6
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Aug,8,4.34
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Sep,9,3.51
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Oct,10,1.78
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Nov,11,5.85
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Dec,12,1.39
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,,,2.98
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Jan,1,4.24
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Feb,2,3.23
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Mar,3,2.71
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Apr,4,1.62
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,May,5,1.13
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Jun,6,4.27
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Jul,7,4.65
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Aug,8,3.44
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Sep,9,0.89
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Oct,10,2.23
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Nov,11,5.89
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Dec,12,5.19
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,,,3.29
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Jan,1,4.58
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Feb,2,0.53
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Mar,3,4.63
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Apr,4,6.11
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,May,5,1.82
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Jun,6,2.35
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Jul,7,1.51
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Aug,8,3.7
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Sep,9,4.84
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Oct,10,3.15
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Nov,11,2.78
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Dec,12,1.77
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,,,3.16
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Jan,1,2.59
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Feb,2,3.73
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Mar,3,2.55
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Apr,4,1.97
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,May,5,2.92
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Jun,6,0.92
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Jul,7,5.87
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Aug,8,2.01
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Sep,9,2.2
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Oct,10,2.44
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Nov,11,7.76
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Dec,12,1.38
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,,,3.02
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Jan,1,1.49
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Feb,2,2.58
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Mar,3,3.24
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Apr,4,3.47
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,May,5,7.85
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Jun,6,5.4
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Jul,7,3.87
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Aug,8,5.65
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Sep,9,3.86
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Oct,10,7
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Nov,11,3.55
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Dec,12,1.22
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,,,4.11
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Jan,1,3.97
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Feb,2,3.15
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Mar,3,2.33
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Apr,4,4.28
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,May,5,6.03
