,FIPS,County,State,State Abbreviation,2010 Census,2011 Estimate,2012 Estimate,2013 Estimate,2014 Estimate,2015 Estimate,2016 Estimate,2017 Estimate
77,02110,juneau city and borough,alaska,AK,31275,32162,32395,32570,32490,32612,32405,32094
78,02122,kenai peninsula borough,alaska,AK,55400,56304,56910,56993,57585,58067,58543,58617
79,02130,ketchikan gateway borough,alaska,AK,13477,13644,13700,13682,13780,13680,13727,13856
80,02150,kodiak island borough,alaska,AK,13592,13820,14054,14078,13906,13753,13679,13448
81,02158,kusilvak census area,alaska,AK,7459,7649,7790,7970,8105,8200,8161,8202
82,02164,lake and peninsula borough,alaska,AK,1631,1648,1647,1663,1647,1595,1602,1620
83,02170,matanuska-susitna borough,alaska,AK,88995,91721,93681,95853,98104,101064,104123,106532
84,02180,nome census area,alaska,AK,9492,9775,9816,9844,9798,9869,9915,9921
85,02185,north slope borough,alaska,AK,9430,9549,9692,9776,9763,9780,9685,9782
86,02188,northwest arctic borough,alaska,AK,7523,7705,7707,7721,7756,7752,7662,7684
87,02195,petersburg borough,alaska,AK,3815,3253,3279,3287,3265,3263,3278,3281
88,02198,prince of wales-hyder census area,alaska,AK,5559,6376,6424,6446,6462,6505,6507,6443
89,02220,sitka city and borough,alaska,AK,8881,8888,9022,8962,8844,8786,8768,8689
90,02230,skagway municipality,alaska,AK,968,962,999,1024,1052,1086,1130,1157
91,02240,southeast fairbanks census area,alaska,AK,7029,7149,7172,6980,6929,6807,6840,6888
92,02261,valdez-cordova census area,alaska,AK,9636,9742,9735,9773,9478,9327,9340,9278
93,02275,wrangell city and borough,alaska,AK,2369,2394,2424,2451,2446,2456,2502,2521
94,02282,yakutat city and borough,alaska,AK,662,656,664,651,655,635,612,605
95,02290,yukon-koyukuk census area,alaska,AK,5588,5631,5624,5561,5463,5463,5412,5365
96,04001,apache,arizona,AZ,71518,72179,72215,72292,71762,70979,71373,71606
97,04003,cochise,arizona,AZ,131346,132952,131826,129332,127054,126084,125355,124756
98,04005,coconino,arizona,AZ,134421,134181,136002,136448,137209,138682,140079,140776
99,04007,gila,arizona,AZ,53597,53422,52973,52982,53008,52935,53297,53501
100,04009,graham,arizona,AZ,37220,37124,37009,37419,38064,37786,37767,37466
101,04011,greenlee,arizona,AZ,8437,8569,8744,8892,9319,9549,9623,9455
102,04012,la paz,arizona,AZ,20489,20582,20492,20479,20442,20342,20523,20601
103,04013,maricopa,arizona,AZ,3817117,3869626,3939776,4006307,4076708,4154076,4233383,4307033
104,04015,mohave,arizona,AZ,200186,202733,203262,203026,203320,204524,205385,207200
105,04017,navajo,arizona,AZ,107449,107518,107268,107077,107613,107543,108322,108956
106,04019,pima,arizona,AZ,980263,987297,991528,994759,1000916,1005323,1012519,1022769
107,04021,pinal,arizona,AZ,375770,378226,381910,384258,394004,404069,415115,430237
108,04023,santa cruz,arizona,AZ,47420,47615,47292,46845,46468,46191,46075,46212
109,04025,yavapai,arizona,AZ,211033,210883,211809,214198,217509,220621,224363,228168
110,04027,yuma,arizona,AZ,195751,202581,202105,201810,203039,203558,205463,207534
111,05001,arkansas,arkansas,AR,19019,18869,18957,18746,18484,18350,18215,17967
112,05003,ashley,arkansas,AR,21853,21673,21518,21281,20958,20837,20498,20283
113,05005,baxter,arkansas,AR,41513,41341,41076,40976,40871,41118,41145,41355
114,05007,benton,arkansas,AR,221339,228827,234315,238902,244192,251016,258704,266300
115,05009,boone,arkansas,AR,36903,37063,37308,37305,37090,37091,37191,37381
116,05011,bradley,arkansas,AR,11508,11425,11262,11120,11007,10998,10979,10864
117,05013,calhoun,arkansas,AR,5368,5243,5278,5193,5168,5201,5162,5247
118,05015,carroll,arkansas,AR,27446,27448,27595,27771,27715,27751,27728,27944
119,05017,chicot,arkansas,AR,11800,11693,11486,11347,11187,10957,10912,10636
120,05019,clark,arkansas,AR,22995,22918,22745,22574,22551,22506,22550,22293
121,05021,clay,arkansas,AR,16083,15872,15706,15481,15295,15197,15057,14920
122,05023,cleburne,arkansas,AR,25970,25890,25773,25638,25603,25358,25159,25048
123,05025,cleveland,arkansas,AR,8689,8672,8607,8515,8397,8284,8260,8202
124,05027,columbia,arkansas,AR,24552,24682,24373,24247,24014,24089,23983,23627
125,05029,conway,arkansas,AR,21273,21115,21127,21071,20977,20912,20895,20916
126,05031,craighead,arkansas,AR,96443,98310,99854,101513,102526,104297,105781,107115
127,05033,crawford,arkansas,AR,61948,61799,61901,61664,61797,61877,62259,62996
128,05035,crittenden,arkansas,AR,50902,50504,50061,49731,49550,49040,49320,48750
129,05037,cross,arkansas,AR,17870,17796,17691,17511,17171,17240,17037,16863
130,05039,dallas,arkansas,AR,8116,8047,7947,7887,7687,7529,7430,7393
131,05041,desha,arkansas,AR,13008,12727,12585,12489,12268,12029,11920,11764
132,05043,drew,arkansas,AR,18509,18725,18776,18672,18635,18617,18628,18547
133,05045,faulkner,arkansas,AR,113237,116223,118421,119096,120463,121113,122083,123654
134,05047,franklin,arkansas,AR,18125,17993,17945,17900,17815,17739,17671,17890
135,05049,fulton,arkansas,AR,12245,12238,12170,12171,12074,12121,12039,12055
136,05051,garland,arkansas,AR,96024,96834,96969,97627,97720,97734,98231,98658
137,05053,grant,arkansas,AR,17853,17932,18023,18035,18069,18016,18094,18165
138,05055,greene,arkansas,AR,42090,42751,43208,43145,43772,44301,44715,45053
139,05057,hempstead,arkansas,AR,22609,22490,22349,22430,22348,22103,22026,21861
140,05059,hot spring,arkansas,AR,32923,33129,33492,33506,33396,33478,33446,33574
141,05061,howard,arkansas,AR,13789,13821,13685,13555,13516,13375,13438,13478
142,05063,independence,arkansas,AR,36647,36846,36917,36834,37043,37010,37094,37504
143,05065,izard,arkansas,AR,13696,13567,13529,13400,13547,13480,13490,13686
144,05067,jackson,arkansas,AR,17997,17884,17679,17730,17595,17376,17309,17135
145,05069,jefferson,arkansas,AR,77435,76008,74604,73163,72422,71822,70342,69115
146,05071,johnson,arkansas,AR,25540,25641,25879,25901,25972,26126,26225,26552
147,05073,lafayette,arkansas,AR,7645,7533,7448,7284,7163,7016,6928,6862
148,05075,lawrence,arkansas,AR,17415,17276,17037,17050,16970,16700,16639,16525
149,05077,lee,arkansas,AR,10424,10291,10187,10012,9844,9679,9360,9176
150,05079,lincoln,arkansas,AR,14134,14336,14177,14059,14031,13877,13810,13646
151,05081,little river,arkansas,AR,13171,12944,12917,12741,12522,12420,12430,12359
152,05083,logan,arkansas,AR,22353,22229,21909,22011,21849,21713,21713,21722
153,05085,lonoke,arkansas,AR,68356,69458,70013,70651,71264,71268,71757,72898
154,05087,madison,arkansas,AR,15717,15656,15590,15674,15721,15696,16105,16339
155,05089,marion,arkansas,AR,16653,16673,16619,16442,16422,16209,16369,16428
156,05091,miller,arkansas,AR,43462,43751,43653,43456,43569,43919,43874,43984
157,05093,mississippi,arkansas,AR,46480,46011,45537,44676,44232,43717,42885,42159
158,05095,monroe,arkansas,AR,8149,8098,7853,7690,7635,7453,7235,7085
159,05097,montgomery,arkansas,AR,9487,9397,9336,9249,9155,9022,8949,8919
160,05099,nevada,arkansas,AR,8997,9005,8907,8774,8651,8515,8374,8327
161,05101,newton,arkansas,AR,8330,8262,8062,8054,7878,7860,7869,7828
162,05103,ouachita,arkansas,AR,26120,25728,25388,24941,24750,24312,24019,23868
163,05105,perry,arkansas,AR,10445,10377,10321,10329,10352,10299,10273,10348
164,05107,phillips,arkansas,AR,21757,21405,20740,20443,19962,19562,19050,18572
165,05109,pike,arkansas,AR,11291,11232,11248,11110,10982,10830,10817,10726
166,05111,poinsett,arkansas,AR,24583,24440,24282,24172,24144,24010,24008,24154
167,05113,polk,arkansas,AR,20662,20554,20416,20344,20253,20203,20141,20118
168,05115,pope,arkansas,AR,61754,62654,62576,62542,63073,63559,63852,63835
169,05117,prairie,arkansas,AR,8715,8600,8484,8377,8349,8301,8271,8248
170,05119,pulaski,arkansas,AR,382748,386679,388738,391068,392434,393107,393677,393956
171,05121,randolph,arkansas,AR,17969,17970,17839,17625,17561,17417,17408,17557
172,05123,st. francis,arkansas,AR,28258,27980,27973,27491,27078,26636,26304,25930
173,05125,saline,arkansas,AR,107118,109509,111360,113276,114781,116304,117577,119323
174,05127,scott,arkansas,AR,11233,11235,11006,10907,10665,10544,10360,10445
175,05129,searcy,arkansas,AR,8195,8070,7996,7981,7915,7828,7965,7938
176,05131,sebastian,arkansas,AR,125744,126926,127441,127067,126683,127387,127567,128107
